iter	RMSE
0	11.76418897
1	11.63091927
2	11.52234759
3	11.40157965
4	11.29552261
5	11.18072682
6	11.08132125
7	10.98089671
8	10.88547745
9	10.79482321
10	10.70758325
11	10.61790748
12	10.52990252
13	10.44687356
14	10.36448031
15	10.28667958
16	10.21338635
17	10.14462066
18	10.08242541
19	10.01928674
20	9.955430544
21	9.897778857
22	9.838046295
23	9.778680948
24	9.721634179
25	9.675790857
26	9.628883544
27	9.587754613
28	9.545023663
29	9.507230655
30	9.460349297
31	9.417721056
32	9.371480069
33	9.333546103
34	9.297024085
35	9.260624802
36	9.225081513
37	9.18628755
38	9.151903257
39	9.120202359
40	9.091483886
41	9.05812525
42	9.029774183
43	8.997698528
44	8.965787548
45	8.939128083
46	8.903950283
47	8.876106169
48	8.849960611
49	8.826818419
50	8.804151708
51	8.780908382
52	8.759005351
53	8.731061957
54	8.707811203
55	8.680817855
56	8.656398476
57	8.636372732
58	8.616384248
59	8.594181344
60	8.576178398
61	8.559841616
62	8.539033276
63	8.517863594
64	8.498865179
65	8.480384211
66	8.465781049
67	8.4474073
68	8.430077569
69	8.416987484
70	8.396540222
71	8.379470357
72	8.364431156
73	8.352001396
74	8.336663335
75	8.318209458
76	8.305607154
77	8.295037232
78	8.280625185
79	8.265156049
80	8.255460666
81	8.241277912
82	8.226816988
83	8.210813279
84	8.201165683
85	8.185845674
86	8.173405561
87	8.1601158
88	8.148518768
89	8.137113004
90	8.124250419
91	8.112825907
92	8.101814825
93	8.094105463
94	8.084980961
95	8.076639719
96	8.063249967
97	8.051411851
98	8.041568658
99	8.029789724
100	8.018310431
101	8.008713271
102	8.001355594
103	7.994497728
104	7.982844054
105	7.972256107
106	7.962769727
107	7.951179725
108	7.938316516
109	7.932558825
110	7.925398675
111	7.911966875
112	7.906839911
113	7.899779148
114	7.892436647
115	7.881919538
116	7.871213174
117	7.862962999
118	7.851680627
119	7.842185852
120	7.835117381
121	7.823283391
122	7.814925793
123	7.806028707
124	7.798010397
125	7.792474707
126	7.784630794
127	7.779240846
128	7.765476974
129	7.75648978
130	7.744813933
131	7.736692216
132	7.725728282
133	7.719423157
134	7.707600061
135	7.701025808
136	7.697861008
137	7.688074347
138	7.681878875
139	7.675970681
140	7.66904465
141	7.659669688
142	7.652216758
143	7.644372468
144	7.636363857
145	7.628732437
146	7.625164137
147	7.616244412
148	7.607727923
149	7.600820956
150	7.596264698
151	7.587998686
152	7.583178058
153	7.572042945
154	7.565658315
155	7.558620262
156	7.553954292
157	7.548837988
158	7.539990777
159	7.52984052
160	7.524053599
161	7.520202739
162	7.51343091
163	7.508057522
164	7.497225799
165	7.488531282
166	7.483941765
167	7.476524187
168	7.469416589
169	7.462141969
170	7.456530449
171	7.450870008
172	7.442529934
173	7.433370952
174	7.425547224
175	7.417548812
176	7.411364958
177	7.40459315
178	7.396193202
179	7.388875151
180	7.382151929
181	7.37845012
182	7.366864101
183	7.36283324
184	7.359492303
185	7.3494612
186	7.340115654
187	7.337313507
188	7.331741888
189	7.32872334
190	7.318722257
191	7.311523395
192	7.307939836
193	7.302093103
194	7.29847127
195	7.292142722
196	7.28787572
197	7.283112264
198	7.280655289
199	7.273424339
200	7.270312324
201	7.261394216
202	7.258800657
203	7.256619432
204	7.24732869
205	7.242381253
206	7.233447527
207	7.225086725
208	7.220331336
209	7.210229867
210	7.200965023
211	7.196503756
212	7.19109902
213	7.184446795
214	7.181122226
215	7.176001305
216	7.166953175
217	7.160007742
218	7.155257587
219	7.150583805
220	7.139454126
221	7.133471328
222	7.128524565
223	7.122291953
224	7.120487599
225	7.113421477
226	7.106281561
227	7.100400801
228	7.092922414
229	7.091333251
230	7.086508325
231	7.079810384
232	7.074738094
233	7.073293208
234	7.066370814
235	7.058269301
236	7.054717065
237	7.051377474
238	7.045673258
239	7.043770882
240	7.035105506
241	7.030682053
242	7.022158219
243	7.016220165
244	7.006757925
245	7.003238094
246	6.995697483
247	6.990923115
248	6.986658648
249	6.978637013
250	6.972741859
251	6.966103584
252	6.962995316
253	6.959406256
254	6.956030657
255	6.948238805
256	6.944947713
257	6.939321564
258	6.93044824
259	6.924524733
260	6.916494248
261	6.911328528
262	6.907115585
263	6.899154016
264	6.891884455
265	6.88856385
266	6.880542111
267	6.870645656
268	6.861454357
269	6.855349128
270	6.84984075
271	6.844411281
272	6.838337827
273	6.833600888
274	6.828295682
275	6.827123877
276	6.824363013
277	6.811765493
278	6.809893634
279	6.803565424
280	6.796567946
281	6.790001536
282	6.789636562
283	6.781588855
284	6.77559862
285	6.77491498
286	6.770876307
287	6.764072467
288	6.757116897
289	6.756076182
290	6.754637033
291	6.750287033
292	6.749140718
293	6.742491806
294	6.738084255
295	6.731359455
296	6.72591127
297	6.721492716
298	6.713973966
299	6.711311341
300	6.706297594
301	6.704267682
302	6.701140029
303	6.700639217
304	6.699012137
305	6.692168464
306	6.683368182
307	6.681358808
308	6.679210182
309	6.675304272
310	6.667537923
311	6.661467117
312	6.660848497
313	6.649458587
314	6.646083301
315	6.645146701
316	6.644816084
317	6.638010132
318	6.629764239
319	6.618101441
320	6.608333654
321	6.604961617
322	6.595046126
323	6.586581312
324	6.585825549
325	6.585291049
326	6.580015687
327	6.572311464
328	6.571769342
329	6.563725359
330	6.555588243
331	6.549357258
332	6.5488129
333	6.543960482
334	6.543417311
335	6.536293247
336	6.530184948
337	6.52305889
338	6.51726429
339	6.512847765
340	6.50302811
341	6.49684231
342	6.488061911
343	6.480113206
344	6.474528344
345	6.465368848
346	6.457150857
347	6.445168852
348	6.43712276
349	6.424059687
350	6.416944271
351	6.407859945
352	6.40024239
353	6.391570108
354	6.388441298
355	6.387727657
356	6.381565685
357	6.376725514
358	6.368165334
359	6.367765233
360	6.356679385
361	6.348565243
362	6.341845264
363	6.335074017
364	6.329258328
365	6.327074062
366	6.320997479
367	6.313950614
368	6.31192954
369	6.30500448
370	6.299406174
371	6.291158112
372	6.28157203
373	6.273642576
374	6.265815617
375	6.26050304
376	6.255142898
377	6.247300691
378	6.243307653
379	6.235198964
380	6.229689739
381	6.224379507
382	6.223312057
383	6.21914852
384	6.21368919
385	6.20680489
386	6.20039742
387	6.194404976
388	6.185978543
389	6.17626734
390	6.170751615
391	6.161753845
392	6.155234867
393	6.148791958
394	6.139866929
395	6.130278378
396	6.122530735
397	6.122068382
398	6.110995329
399	6.105927695
400	6.099526719
401	6.089029504
402	6.081382504
403	6.076694954
404	6.070866147
405	6.062985807
406	6.055636848
407	6.048463586
408	6.042581291
409	6.036684471
410	6.029518505
411	6.029231436
412	6.020993237
413	6.011005762
414	6.007421227
415	6.002477295
416	5.996755331
417	5.990850287
