iter	Passed	Remaining
0	1	3381
1	2	2829
2	3	2564
3	5	2511
4	6	2615
5	7	2577
6	9	2719
7	10	2721
8	12	2661
9	13	2604
10	13	2531
11	15	2598
12	17	2656
13	18	2681
14	19	2612
15	20	2569
16	21	2514
17	22	2479
18	24	2598
19	25	2565
20	26	2518
21	28	2521
22	29	2510
23	30	2480
24	31	2457
25	32	2434
26	33	2413
27	33	2384
28	34	2370
29	36	2378
30	37	2368
31	38	2365
32	39	2360
33	40	2356
34	41	2338
35	42	2315
36	44	2358
37	45	2347
38	46	2337
39	48	2363
40	49	2348
41	50	2333
42	50	2315
43	52	2348
44	53	2344
45	55	2351
46	56	2338
47	57	2321
48	57	2306
49	58	2292
50	60	2307
51	61	2309
52	62	2302
53	63	2292
54	64	2293
55	65	2285
56	67	2285
57	68	2298
58	69	2296
59	70	2292
60	71	2281
61	72	2272
62	73	2259
63	74	2248
64	75	2244
65	77	2256
66	78	2252
67	79	2263
68	80	2256
69	81	2248
70	82	2243
71	84	2257
72	85	2250
73	86	2242
74	87	2235
75	87	2225
76	88	2218
77	89	2209
78	90	2199
79	91	2207
80	92	2198
81	93	2190
82	94	2184
83	95	2176
84	96	2170
85	97	2163
86	98	2156
87	99	2154
88	100	2147
89	100	2140
90	101	2136
91	102	2128
92	103	2125
93	104	2118
94	105	2112
95	106	2105
96	107	2102
97	108	2098
98	109	2094
99	109	2087
100	111	2093
101	112	2087
102	113	2087
103	114	2091
104	115	2092
105	117	2091
106	118	2091
107	119	2092
108	120	2091
109	121	2086
110	122	2082
111	123	2081
112	124	2081
113	125	2076
114	126	2070
115	127	2065
116	127	2059
117	128	2053
118	129	2047
119	130	2041
120	131	2039
121	132	2035
122	133	2030
123	133	2025
124	134	2022
125	135	2017
126	136	2012
127	137	2007
128	138	2002
129	139	1999
130	139	1996
131	140	1993
132	141	1989
133	143	1995
134	144	1989
135	144	1985
136	145	1981
137	147	1986
138	148	1983
139	149	1980
140	149	1975
141	150	1972
142	151	1968
143	152	1962
144	153	1958
145	153	1953
146	154	1950
147	155	1947
148	156	1943
149	157	1940
150	158	1939
151	159	1935
152	159	1930
153	160	1927
154	161	1923
155	162	1920
156	163	1919
157	164	1915
158	165	1911
159	165	1908
160	166	1905
161	167	1901
162	168	1898
163	169	1894
164	170	1891
165	170	1888
166	171	1887
167	172	1883
168	173	1880
169	174	1877
170	175	1874
171	176	1871
172	176	1869
173	178	1868
174	178	1866
175	179	1863
176	180	1861
177	181	1859
178	182	1856
179	183	1854
180	184	1851
181	184	1847
182	185	1845
183	186	1842
184	187	1840
185	188	1838
186	189	1841
187	190	1838
188	191	1835
189	192	1833
190	193	1830
191	194	1827
192	194	1825
